Timestamp,Elapsed_Sec,Box_X,Box_Y,Box_W,Box_H,Blur_Variance,Real_Prob,Fake_Prob
2026-07-29 07:51:05,2.80,292,150,190,190,21.16,0.9992,0.0008
2026-07-29 07:51:05,2.87,284,150,190,190,22.89,0.9996,0.0004
2026-07-29 07:51:06,3.21,280,150,194,194,24.04,0.9996,0.0004
2026-07-29 07:51:06,3.28,286,146,196,196,26.07,0.9999,0.0001
2026-07-29 07:51:06,3.35,288,148,194,194,28.65,1.0000,0.0000
2026-07-29 07:51:06,3.44,296,146,194,194,28.61,1.0000,0.0000
2026-07-29 07:51:06,3.50,300,148,194,194,30.50,1.0000,0.0000
2026-07-29 07:51:06,3.57,306,150,194,194,30.22,1.0000,0.0000
2026-07-29 07:51:06,3.63,310,152,194,194,29.86,1.0000,0.0000
2026-07-29 07:51:06,3.70,314,154,192,192,29.14,1.0000,0.0000
2026-07-29 07:51:06,3.77,320,152,198,198,37.18,1.0000,0.0000
2026-07-29 07:51:06,3.84,320,150,200,200,48.79,1.0000,0.0000
2026-07-29 07:51:06,3.90,332,156,190,190,32.36,1.0000,0.0000
2026-07-29 07:51:06,3.96,334,156,188,188,31.18,1.0000,0.0000
2026-07-29 07:51:06,4.07,336,152,190,190,32.65,1.0000,0.0000
2026-07-29 07:51:07,5.18,340,152,184,184,32.85,1.0000,0.0000
2026-07-29 07:51:08,5.88,346,138,178,178,26.69,1.0000,0.0000
2026-07-29 07:51:08,5.94,344,138,178,178,27.41,1.0000,0.0000
2026-07-29 07:51:08,5.99,344,138,178,178,27.44,1.0000,0.0000
2026-07-29 07:51:08,6.04,344,138,178,178,26.62,1.0000,0.0000
2026-07-29 07:51:08,6.10,348,136,178,178,27.80,1.0000,0.0000
2026-07-29 07:51:08,6.14,348,138,174,174,26.25,1.0000,0.0000
2026-07-29 07:51:08,6.18,348,136,176,176,27.01,1.0000,0.0000
2026-07-29 07:51:09,6.23,346,136,182,182,31.05,0.9999,0.0001
2026-07-29 07:51:09,6.75,350,144,174,174,28.55,1.0000,0.0000
2026-07-29 07:51:09,6.81,350,144,174,174,29.09,1.0000,0.0000
2026-07-29 07:51:09,6.89,352,144,172,172,27.16,1.0000,0.0000
