Timestamp,Elapsed_Sec,Box_X,Box_Y,Box_W,Box_H,Blur_Variance,Real_Prob,Fake_Prob
2026-07-29 09:34:46,0.45,262,28,380,205,119.51,0.9854,0.0146
2026-07-29 09:34:46,0.60,261,27,381,188,98.52,0.9546,0.0454
2026-07-29 09:34:47,0.74,261,27,381,188,98.52,0.9546,0.0454
2026-07-29 09:34:47,0.92,261,27,381,188,98.62,0.9528,0.0472
2026-07-29 09:34:47,1.23,261,28,381,188,98.33,0.9452,0.0548
2026-07-29 09:34:47,1.39,271,27,426,206,107.20,0.9942,0.0058
2026-07-29 09:34:47,1.60,294,28,433,205,144.79,0.9668,0.0332
2026-07-29 09:34:48,1.81,296,23,435,208,108.29,0.9710,0.0290
2026-07-29 09:34:48,1.97,270,28,415,197,39.52,0.9438,0.0562
2026-07-29 09:34:48,2.14,261,31,389,204,18.61,0.9802,0.0198
2026-07-29 09:34:48,2.31,227,32,386,203,20.13,0.9930,0.0070
2026-07-29 09:34:48,2.47,178,20,398,210,98.92,0.8405,0.1595
2026-07-29 09:34:49,2.64,163,18,404,209,78.53,0.9663,0.0337
2026-07-29 09:34:49,2.81,177,10,406,213,53.66,0.9785,0.0215
2026-07-29 09:34:49,2.97,212,8,401,215,48.62,0.9872,0.0128
2026-07-29 09:34:49,3.18,241,8,401,215,65.09,0.9925,0.0075
2026-07-29 09:34:49,3.34,260,6,407,214,53.74,0.9973,0.0027
2026-07-29 09:34:49,3.53,260,11,404,213,85.67,0.9479,0.0521
2026-07-29 09:34:50,3.75,259,17,411,211,90.46,0.9928,0.0072
2026-07-29 09:34:50,3.93,259,21,397,209,110.74,0.7614,0.2386
2026-07-29 09:34:50,4.09,261,24,397,207,116.84,0.9775,0.0225
2026-07-29 09:34:50,4.32,261,22,398,208,112.81,0.8782,0.1218
2026-07-29 09:34:50,4.48,262,23,424,208,87.39,0.9384,0.0616
2026-07-29 09:34:51,4.65,261,25,433,207,91.52,0.9431,0.0569
2026-07-29 09:34:51,4.82,251,23,402,208,44.90,0.9870,0.0130
2026-07-29 09:34:51,5.11,193,22,407,208,57.51,0.9969,0.0031
2026-07-29 09:34:51,5.28,156,19,395,210,107.76,0.9678,0.0322
2026-07-29 09:34:51,5.44,157,18,405,210,98.88,0.9314,0.0686
2026-07-29 09:34:51,5.60,172,21,402,209,89.48,0.8818,0.1182
2026-07-29 09:34:52,5.76,186,25,392,207,88.94,0.8918,0.1082
2026-07-29 09:34:52,5.93,193,27,390,206,65.89,0.9335,0.0665
2026-07-29 09:34:52,6.09,194,30,410,204,61.02,0.8536,0.1464
2026-07-29 09:34:52,6.25,194,25,494,207,88.23,0.6196,0.3804
2026-07-29 09:34:52,6.42,206,28,483,206,100.20,0.6503,0.3497
2026-07-29 09:34:52,6.59,216,22,476,208,94.56,0.4331,0.5669
2026-07-29 09:34:53,6.75,215,17,471,211,106.19,0.5021,0.4979
2026-07-29 09:34:53,6.91,200,27,434,206,100.69,0.7078,0.2922
2026-07-29 09:34:53,7.06,197,24,500,207,127.83,0.4125,0.5875
2026-07-29 09:34:53,7.22,210,26,463,207,82.28,0.7709,0.2291
2026-07-29 09:34:53,7.39,235,26,441,207,70.16,0.9039,0.0961
2026-07-29 09:34:53,7.55,260,26,419,207,69.62,0.9936,0.0064
2026-07-29 09:34:54,7.71,261,26,426,207,121.55,0.7720,0.2280
2026-07-29 09:34:54,7.86,261,24,414,207,75.09,0.9465,0.0535
2026-07-29 09:34:54,8.03,260,21,395,209,43.74,0.9984,0.0016
2026-07-29 09:34:54,8.19,238,23,398,208,37.08,0.9971,0.0029
2026-07-29 09:34:54,8.34,219,29,388,205,49.43,0.9996,0.0004
2026-07-29 09:34:54,8.50,203,29,367,205,83.01,0.9984,0.0016
2026-07-29 09:34:55,8.68,202,26,359,207,112.48,0.9685,0.0315
2026-07-29 09:34:55,8.88,200,27,352,206,111.80,0.9964,0.0036
2026-07-29 09:34:55,9.05,191,24,355,208,122.81,0.9939,0.0061
2026-07-29 09:34:55,9.20,193,22,358,209,117.99,0.9908,0.0092
2026-07-29 09:34:55,9.39,199,23,358,208,72.05,0.9972,0.0028
2026-07-29 09:34:56,9.92,214,24,357,207,86.73,0.9960,0.0040
2026-07-29 09:34:56,10.09,258,33,342,204,103.10,0.9837,0.0163
2026-07-29 09:34:56,10.26,262,35,327,202,91.25,0.9801,0.0199
2026-07-29 09:34:56,10.42,262,35,334,202,104.93,0.9452,0.0548
2026-07-29 09:34:56,10.57,466,43,99,178,36.88,0.7579,0.2421
2026-07-29 09:34:57,10.73,466,42,99,179,41.30,0.8496,0.1504
2026-07-29 09:34:57,10.89,467,41,100,179,42.31,0.8717,0.1283
2026-07-29 09:34:57,11.05,466,42,101,179,43.03,0.8081,0.1919
2026-07-29 09:34:57,11.21,466,41,102,180,41.76,0.9289,0.0711
2026-07-29 09:34:57,11.38,464,42,104,179,39.12,0.7109,0.2891
2026-07-29 09:34:57,11.54,455,43,113,179,36.22,0.9047,0.0953
