Timestamp,Elapsed_Sec,Box_X,Box_Y,Box_W,Box_H,Blur_Variance,Real_Prob,Fake_Prob
2026-07-29 09:24:11,0.46,281,74,408,185,17.36,0.4431,0.5569
2026-07-29 09:24:11,0.66,272,40,405,200,180.64,0.4809,0.5191
2026-07-29 09:24:12,0.80,271,41,407,200,127.42,0.4249,0.5751
2026-07-29 09:24:12,0.95,271,41,407,200,127.42,0.4249,0.5751
2026-07-29 09:24:12,1.15,271,41,407,200,133.86,0.5502,0.4498
2026-07-29 09:24:12,1.50,269,40,409,201,182.71,0.7457,0.2543
2026-07-29 09:24:12,1.68,259,35,380,203,117.62,0.9913,0.0087
2026-07-29 09:24:13,1.94,255,30,350,205,103.59,0.9946,0.0054
2026-07-29 09:24:13,2.11,255,25,342,207,131.27,0.9830,0.0170
2026-07-29 09:24:13,2.31,259,29,339,206,88.44,0.9935,0.0065
2026-07-29 09:24:13,2.51,264,29,391,207,70.03,0.9804,0.0196
2026-07-29 09:24:13,2.67,264,29,391,207,70.03,0.9804,0.0196
2026-07-29 09:24:14,2.83,264,29,391,207,70.03,0.9804,0.0196
2026-07-29 09:24:14,2.98,264,29,391,207,70.03,0.9804,0.0196
2026-07-29 09:24:14,3.31,264,29,391,207,70.03,0.9804,0.0196
2026-07-29 09:24:14,3.46,264,29,391,207,70.03,0.9804,0.0196
2026-07-29 09:24:14,3.63,264,29,391,207,70.03,0.9804,0.0196
2026-07-29 09:24:15,3.82,273,29,407,207,89.23,0.9749,0.0251
2026-07-29 09:24:15,4.02,270,27,419,207,92.95,0.9967,0.0033
2026-07-29 09:24:15,4.20,259,19,397,211,55.43,0.9932,0.0068
2026-07-29 09:24:15,4.36,256,17,380,211,101.16,0.9912,0.0088
2026-07-29 09:24:15,4.54,249,16,387,212,131.23,0.9862,0.0138
2026-07-29 09:24:16,4.71,245,17,389,211,130.30,0.9932,0.0068
2026-07-29 09:24:16,4.87,245,17,391,211,81.87,0.9973,0.0027
2026-07-29 09:24:16,5.04,247,17,392,211,143.22,0.9950,0.0050
2026-07-29 09:24:16,5.23,245,17,396,211,143.63,0.9951,0.0049
2026-07-29 09:24:16,5.53,244,29,391,205,68.61,0.9723,0.0277
2026-07-29 09:24:16,5.69,239,25,400,207,105.36,0.9724,0.0276
2026-07-29 09:24:17,5.88,229,26,397,207,76.92,0.9966,0.0034
2026-07-29 09:24:17,6.06,212,28,388,206,106.29,0.8879,0.1121
2026-07-29 09:24:17,6.23,220,27,386,207,92.93,0.9895,0.0105
2026-07-29 09:24:17,6.41,247,25,395,208,80.83,0.9829,0.0171
2026-07-29 09:24:17,6.62,259,31,395,205,47.26,0.9608,0.0392
2026-07-29 09:24:18,6.80,261,22,354,208,55.11,0.9830,0.0170
2026-07-29 09:24:18,6.99,296,20,297,209,81.94,0.9017,0.0983
2026-07-29 09:24:18,7.20,277,34,307,203,104.02,0.9602,0.0398
2026-07-29 09:24:18,7.37,252,25,320,207,107.74,0.9666,0.0334
2026-07-29 09:24:18,7.54,265,21,318,209,101.27,0.9879,0.0121
2026-07-29 09:24:19,7.71,275,18,307,211,112.22,0.9835,0.0165
2026-07-29 09:24:19,7.88,264,26,311,208,100.55,0.9908,0.0092
2026-07-29 09:24:19,8.06,263,26,308,207,89.06,0.9989,0.0011
2026-07-29 09:24:19,8.23,276,24,304,208,91.83,0.9994,0.0006
2026-07-29 09:24:19,8.40,303,20,288,210,107.53,0.9993,0.0007
2026-07-29 09:24:19,8.60,274,20,318,210,107.36,0.9980,0.0020
2026-07-29 09:24:20,8.80,259,21,323,209,105.93,0.9910,0.0090
2026-07-29 09:24:20,9.00,259,23,332,208,82.53,0.9926,0.0074
2026-07-29 09:24:20,9.18,259,24,349,208,70.57,0.9932,0.0068
2026-07-29 09:24:20,9.34,260,24,370,208,46.26,0.9954,0.0046
2026-07-29 09:24:20,9.52,260,19,382,210,99.63,0.9904,0.0096
2026-07-29 09:24:21,9.71,252,19,385,210,88.59,0.9822,0.0178
2026-07-29 09:24:21,9.87,221,16,403,211,87.55,0.9849,0.0151
2026-07-29 09:24:21,10.04,211,17,392,211,87.04,0.9260,0.0740
2026-07-29 09:24:21,10.21,202,18,381,211,108.67,0.9969,0.0031
2026-07-29 09:24:21,10.51,204,18,376,211,115.14,0.9928,0.0072
2026-07-29 09:24:21,10.69,206,18,378,211,116.47,0.9907,0.0093
2026-07-29 09:24:22,10.85,210,19,379,210,124.33,0.9923,0.0077
2026-07-29 09:24:22,11.02,211,17,383,211,114.01,0.9785,0.0215
2026-07-29 09:24:22,11.20,213,26,387,207,94.18,0.8305,0.1695
2026-07-29 09:24:22,11.38,213,16,405,211,76.30,0.9701,0.0299
2026-07-29 09:24:22,11.54,234,19,386,210,49.82,0.9717,0.0283
2026-07-29 09:24:23,11.75,258,21,382,209,62.56,0.9783,0.0217
2026-07-29 09:24:23,11.95,257,20,387,210,121.41,0.9649,0.0351
2026-07-29 09:24:23,12.16,245,28,378,206,106.36,0.7327,0.2673
2026-07-29 09:24:23,12.37,235,36,383,203,108.34,0.7822,0.2178
2026-07-29 09:24:24,13.45,173,55,79,130,14.65,0.7936,0.2064
2026-07-29 09:24:24,13.61,180,54,83,130,15.30,0.6344,0.3656
2026-07-29 09:24:25,14.17,171,57,109,129,14.49,0.3800,0.6200
2026-07-29 09:24:25,14.34,161,59,121,126,14.36,0.3318,0.6682
2026-07-29 09:24:25,14.51,154,62,130,118,13.54,0.4315,0.5685
2026-07-29 09:24:25,14.68,141,59,125,130,13.55,0.3350,0.6650
2026-07-29 09:24:26,15.27,93,56,105,131,15.01,0.9498,0.0502
2026-07-29 09:24:26,15.44,86,53,110,131,15.71,0.9478,0.0522
2026-07-29 09:24:26,15.61,89,53,112,135,20.15,0.8873,0.1127
2026-07-29 09:24:27,15.79,97,52,113,138,18.69,0.5001,0.4999
2026-07-29 09:24:27,15.95,106,51,116,139,21.70,0.8978,0.1022
2026-07-29 09:24:27,16.13,109,50,116,139,22.48,0.8302,0.1698
2026-07-29 09:24:27,16.50,113,52,107,140,21.97,0.4989,0.5011
2026-07-29 09:24:27,16.67,117,52,104,139,18.45,0.7195,0.2805
2026-07-29 09:24:28,16.85,262,28,334,206,66.66,0.9761,0.0239
2026-07-29 09:24:28,17.06,257,26,310,207,45.44,0.9685,0.0315
2026-07-29 09:24:28,17.23,232,23,346,209,46.49,0.9056,0.0944
2026-07-29 09:24:28,17.44,220,26,395,207,81.02,0.7480,0.2520
2026-07-29 09:24:28,17.62,199,24,407,208,80.95,0.9208,0.0792
2026-07-29 09:24:29,17.80,187,23,401,209,95.89,0.7327,0.2673
2026-07-29 09:24:29,17.98,174,27,410,207,81.29,0.5497,0.4503
2026-07-29 09:24:29,18.14,168,24,439,208,116.56,0.5619,0.4381
2026-07-29 09:24:29,18.31,176,28,389,207,79.61,0.5694,0.4306
2026-07-29 09:24:29,18.48,197,33,264,204,37.99,0.8417,0.1583
2026-07-29 09:24:29,18.65,222,45,275,198,23.99,0.7381,0.2619
2026-07-29 09:24:30,18.82,259,51,266,195,34.73,0.9567,0.0433
2026-07-29 09:24:30,18.99,279,53,259,194,57.61,0.8972,0.1028
2026-07-29 09:24:30,19.18,288,54,261,195,55.01,0.7202,0.2798
2026-07-29 09:24:30,19.35,289,43,251,199,35.03,0.9921,0.0079
2026-07-29 09:24:30,19.52,310,38,270,202,52.46,0.6264,0.3736
2026-07-29 09:24:30,19.68,348,34,287,203,38.09,0.9881,0.0119
2026-07-29 09:24:31,19.86,376,29,284,206,66.46,0.9903,0.0097
2026-07-29 09:24:31,20.02,379,25,294,207,69.65,0.9273,0.0727
2026-07-29 09:24:31,20.33,372,27,294,207,66.76,0.9893,0.0107
