Timestamp,Elapsed_Sec,Box_X,Box_Y,Box_W,Box_H,Blur_Variance,Real_Prob,Fake_Prob
2026-07-29 19:49:06,0.40,465,99,165,177,63.73,0.7280,0.2720
2026-07-29 19:49:06,0.54,459,69,163,190,396.18,0.5683,0.4317
2026-07-29 19:49:06,0.66,459,69,163,190,396.18,0.5683,0.4317
2026-07-29 19:49:06,0.80,459,69,163,190,396.18,0.5683,0.4317
2026-07-29 19:49:07,0.94,459,69,163,190,396.18,0.5683,0.4317
2026-07-29 19:49:07,1.11,459,69,163,190,396.18,0.5683,0.4317
2026-07-29 19:49:07,1.68,459,69,163,190,396.18,0.5683,0.4317
2026-07-29 19:49:10,4.04,458,69,164,190,190.81,0.6526,0.3474
2026-07-29 19:49:10,4.35,459,69,164,190,188.95,0.4596,0.5404
2026-07-29 19:49:11,5.33,457,69,166,190,182.31,0.5841,0.4159
2026-07-29 19:49:11,5.60,499,66,147,191,172.65,0.6910,0.3090
2026-07-29 19:49:11,5.80,499,67,145,191,166.03,0.8239,0.1761
2026-07-29 19:49:12,6.01,499,66,145,191,163.77,0.8061,0.1939
2026-07-29 19:49:12,6.22,499,66,145,191,158.41,0.8641,0.1359
2026-07-29 19:49:12,6.43,501,68,145,190,146.55,0.4838,0.5162
2026-07-29 19:49:12,6.65,501,68,138,191,146.08,0.2968,0.7032
2026-07-29 19:49:13,6.86,500,68,123,191,129.64,0.3934,0.6066
2026-07-29 19:49:13,7.06,500,69,124,190,135.62,0.3263,0.6737
2026-07-29 19:49:13,7.43,498,68,129,191,155.22,0.2699,0.7301
2026-07-29 19:49:13,7.62,248,35,419,206,325.25,0.7220,0.2780
2026-07-29 19:49:14,7.82,250,35,420,206,399.55,0.6897,0.3103
2026-07-29 19:49:14,8.02,257,33,416,207,340.25,0.9113,0.0887
2026-07-29 19:49:14,8.24,253,33,430,207,356.36,0.9828,0.0172
2026-07-29 19:49:14,8.45,263,32,425,207,422.42,0.7257,0.2743
2026-07-29 19:49:14,8.65,259,33,433,206,422.34,0.7136,0.2864
